Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,58,38,,,96
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,34,19,,,53
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,16,13,,,29
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,13,,,23
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,12,18,,,30
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,21,48,,,69
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,55,87,,,142
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,112,118,,,230
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,170,190,,,360
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,239,234,,,473
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,297,263,,,560
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,320,316,,,636
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,351,343,,,694
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,360,352,,,712
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,356,367,,,723
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,352,369,,,721
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,321,356,,,677
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,262,298,,,560
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,204,233,,,437
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,170,160,,,330
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,143,137,,,280
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,106,99,,,205
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,89,70,,,159
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,64,49,,,113
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,45,27,,,72
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,29,15,,,44
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,11,,,26
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,9,8,,,17
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,9,17,,,26
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,10,45,,,55
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,32,64,,,96
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,56,89,,,145
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,100,122,,,222
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,139,161,,,300
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,177,182,,,359
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,199,199,,,398
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,222,199,,,421
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,227,205,,,432
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,221,196,,,417
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,210,194,,,404
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,226,194,,,420
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,208,159,,,367
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,165,117,,,282
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,125,104,,,229
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,107,86,,,193
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,89,65,,,154
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,70,50,,,120
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,52,38,,,90
96 Avenue East of 130 Street,Saturday-Sunday,12:00 AM,164,167,,,331
96 Avenue East of 130 Street,Saturday-Sunday,1:00 AM,106,105,,,211
96 Avenue East of 130 Street,Saturday-Sunday,2:00 AM,82,83,,,165
96 Avenue East of 130 Street,Saturday-Sunday,3:00 AM,62,69,,,131
96 Avenue East of 130 Street,Saturday-Sunday,4:00 AM,56,70,,,126
96 Avenue East of 130 Street,Saturday-Sunday,5:00 AM,79,95,,,174
96 Avenue East of 130 Street,Saturday-Sunday,6:00 AM,180,142,,,322
96 Avenue East of 130 Street,Saturday-Sunday,7:00 AM,219,204,,,423
96 Avenue East of 130 Street,Saturday-Sunday,8:00 AM,313,275,,,588
96 Avenue East of 130 Street,Saturday-Sunday,9:00 AM,458,430,,,888
96 Avenue East of 130 Street,Saturday-Sunday,10:00 AM,577,524,,,1101
96 Avenue East of 130 Street,Saturday-Sunday,11:00 AM,631,584,,,1215
96 Avenue East of 130 Street,Saturday-Sunday,12:00 PM,732,690,,,1422
96 Avenue East of 130 Street,Saturday-Sunday,1:00 PM,764,757,,,1521
96 Avenue East of 130 Street,Saturday-Sunday,2:00 PM,801,765,,,1566
96 Avenue East of 130 Street,Saturday-Sunday,3:00 PM,718,790,,,1508
96 Avenue East of 130 Street,Saturday-Sunday,4:00 PM,721,762,,,1483
96 Avenue East of 130 Street,Saturday-Sunday,5:00 PM,652,724,,,1376
96 Avenue East of 130 Street,Saturday-Sunday,6:00 PM,605,665,,,1270
96 Avenue East of 130 Street,Saturday-Sunday,7:00 PM,513,553,,,1066
96 Avenue East of 130 Street,Saturday-Sunday,8:00 PM,410,435,,,845
96 Avenue East of 130 Street,Saturday-Sunday,9:00 PM,347,352,,,699
96 Avenue East of 130 Street,Saturday-Sunday,10:00 PM,301,273,,,574
96 Avenue East of 130 Street,Saturday-Sunday,11:00 PM,188,203,,,391
104 Avenue East of 157 Street,Saturday-Sunday,12:00 AM,121,136,,,257
104 Avenue East of 157 Street,Saturday-Sunday,1:00 AM,72,69,,,141
104 Avenue East of 157 Street,Saturday-Sunday,2:00 AM,56,50,,,106
104 Avenue East of 157 Street,Saturday-Sunday,3:00 AM,46,41,,,87
104 Avenue East of 157 Street,Saturday-Sunday,4:00 AM,44,29,,,73
104 Avenue East of 157 Street,Saturday-Sunday,5:00 AM,76,53,,,129
104 Avenue East of 157 Street,Saturday-Sunday,6:00 AM,107,86,,,193
104 Avenue East of 157 Street,Saturday-Sunday,7:00 AM,185,173,,,358
104 Avenue East of 157 Street,Saturday-Sunday,8:00 AM,282,265,,,547
104 Avenue East of 157 Street,Saturday-Sunday,9:00 AM,378,408,,,786
104 Avenue East of 157 Street,Saturday-Sunday,10:00 AM,512,473,,,985
104 Avenue East of 157 Street,Saturday-Sunday,11:00 AM,569,551,,,1120
104 Avenue East of 157 Street,Saturday-Sunday,12:00 PM,666,645,,,1311
104 Avenue East of 157 Street,Saturday-Sunday,1:00 PM,717,631,,,1348
104 Avenue East of 157 Street,Saturday-Sunday,2:00 PM,741,575,,,1316
104 Avenue East of 157 Street,Saturday-Sunday,3:00 PM,713,572,,,1285
104 Avenue East of 157 Street,Saturday-Sunday,4:00 PM,685,592,,,1277
104 Avenue East of 157 Street,Saturday-Sunday,5:00 PM,628,517,,,1145
104 Avenue East of 157 Street,Saturday-Sunday,6:00 PM,546,430,,,976
104 Avenue East of 157 Street,Saturday-Sunday,7:00 PM,421,337,,,758
104 Avenue East of 157 Street,Saturday-Sunday,8:00 PM,356,272,,,628
104 Avenue East of 157 Street,Saturday-Sunday,9:00 PM,276,228,,,504
104 Avenue East of 157 Street,Saturday-Sunday,10:00 PM,202,177,,,379
104 Avenue East of 157 Street,Saturday-Sunday,11:00 PM,146,131,,,277
152 Street South of 99 Avenue,Saturday-Sunday,12:00 AM,,,190,237,427
152 Street South of 99 Avenue,Saturday-Sunday,1:00 AM,,,114,147,261
152 Street South of 99 Avenue,Saturday-Sunday,2:00 AM,,,82,111,193
152 Street South of 99 Avenue,Saturday-Sunday,3:00 AM,,,58,83,141
152 Street South of 99 Avenue,Saturday-Sunday,4:00 AM,,,65,64,129
152 Street South of 99 Avenue,Saturday-Sunday,5:00 AM,,,90,79,169
152 Street South of 99 Avenue,Saturday-Sunday,6:00 AM,,,156,144,300
152 Street South of 99 Avenue,Saturday-Sunday,7:00 AM,,,271,228,499
152 Street South of 99 Avenue,Saturday-Sunday,8:00 AM,,,449,368,817
152 Street South of 99 Avenue,Saturday-Sunday,9:00 AM,,,691,536,1227
152 Street South of 99 Avenue,Saturday-Sunday,10:00 AM,,,914,672,1586
152 Street South of 99 Avenue,Saturday-Sunday,11:00 AM,,,1062,850,1912
152 Street South of 99 Avenue,Saturday-Sunday,12:00 PM,,,1218,1030,2248
152 Street South of 99 Avenue,Saturday-Sunday,1:00 PM,,,1256,1161,2417
152 Street South of 99 Avenue,Saturday-Sunday,2:00 PM,,,1219,1209,2428
152 Street South of 99 Avenue,Saturday-Sunday,3:00 PM,,,1176,1255,2431
152 Street South of 99 Avenue,Saturday-Sunday,4:00 PM,,,1118,1229,2347
152 Street South of 99 Avenue,Saturday-Sunday,5:00 PM,,,976,1187,2163
152 Street South of 99 Avenue,Saturday-Sunday,6:00 PM,,,836,1082,1918
152 Street South of 99 Avenue,Saturday-Sunday,7:00 PM,,,663,776,1439
152 Street South of 99 Avenue,Saturday-Sunday,8:00 PM,,,551,659,1210
152 Street South of 99 Avenue,Saturday-Sunday,9:00 PM,,,453,550,1003
152 Street South of 99 Avenue,Saturday-Sunday,10:00 PM,,,360,385,745
152 Street South of 99 Avenue,Saturday-Sunday,11:00 PM,,,228,280,508
Pattullo Bridge,Saturday-Sunday,12:00 AM,,,550,395,945
Pattullo Bridge,Saturday-Sunday,1:00 AM,,,385,238,623
Pattullo Bridge,Saturday-Sunday,2:00 AM,,,296,172,468
Pattullo Bridge,Saturday-Sunday,3:00 AM,,,250,178,428
Pattullo Bridge,Saturday-Sunday,4:00 AM,,,239,192,431
Pattullo Bridge,Saturday-Sunday,5:00 AM,,,238,351,589
Pattullo Bridge,Saturday-Sunday,6:00 AM,,,373,626,999
Pattullo Bridge,Saturday-Sunday,7:00 AM,,,575,667,1242
Pattullo Bridge,Saturday-Sunday,8:00 AM,,,668,883,1551
Pattullo Bridge,Saturday-Sunday,9:00 AM,,,934,1225,2159
Pattullo Bridge,Saturday-Sunday,10:00 AM,,,1157,1440,2597
Pattullo Bridge,Saturday-Sunday,11:00 AM,,,1307,1475,2782
Pattullo Bridge,Saturday-Sunday,12:00 PM,,,1546,1620,3166
Pattullo Bridge,Saturday-Sunday,1:00 PM,,,1667,1783,3450
Pattullo Bridge,Saturday-Sunday,2:00 PM,,,1716,1851,3567
Pattullo Bridge,Saturday-Sunday,3:00 PM,,,1869,1747,3616
Pattullo Bridge,Saturday-Sunday,4:00 PM,,,1764,1714,3478
Pattullo Bridge,Saturday-Sunday,5:00 PM,,,1688,1616,3304
Pattullo Bridge,Saturday-Sunday,6:00 PM,,,1536,1407,2943
Pattullo Bridge,Saturday-Sunday,7:00 PM,,,1273,1205,2478
Pattullo Bridge,Saturday-Sunday,8:00 PM,,,1078,964,2042
Pattullo Bridge,Saturday-Sunday,9:00 PM,,,928,873,1801
Pattullo Bridge,Saturday-Sunday,10:00 PM,,,841,760,1601
Pattullo Bridge,Saturday-Sunday,11:00 PM,,,679,487,1166
