Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,41,22,,,63
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,25,13,,,38
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,10,13,,,23
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,10,18,,,28
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,24,64,,,88
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,67,278,,,345
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,201,579,,,780
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,380,619,,,999
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,355,516,,,871
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,343,400,,,743
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,349,336,,,685
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,362,343,,,705
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,369,347,,,716
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,402,374,,,776
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,492,406,,,898
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,701,468,,,1169
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,751,520,,,1271
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,614,472,,,1086
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,384,330,,,714
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,234,210,,,444
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,173,154,,,327
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,148,124,,,272
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,102,86,,,188
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,68,54,,,122
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,29,14,,,43
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,18,6,,,24
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,8,7,,,15
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,6,14,,,20
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,12,63,,,75
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,35,310,,,345
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,88,473,,,561
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,190,479,,,669
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,202,379,,,581
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,181,265,,,446
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,197,219,,,416
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,230,219,,,449
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,247,235,,,482
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,269,230,,,499
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,361,253,,,614
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,475,264,,,739
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,530,263,,,793
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,444,225,,,669
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,291,175,,,466
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,192,126,,,318
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,137,93,,,230
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,123,76,,,199
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,86,47,,,133
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,62,31,,,93
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,134,54,,,188
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,87,47,,,134
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,62,77,,,139
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,73,189,,,262
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,130,502,,,632
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,281,581,,,862
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,512,604,,,1116
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,601,703,,,1304
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,648,736,,,1384
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,652,727,,,1379
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,745,825,,,1570
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,866,867,,,1733
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,941,862,,,1803
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,979,880,,,1859
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,1044,966,,,2010
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1032,955,,,1987
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1070,940,,,2010
72 Avenue West of 123 Street,Monday-Friday,5:00 PM,1069,905,,,1974
72 Avenue West of 123 Street,Monday-Friday,6:00 PM,945,758,,,1703
72 Avenue West of 123 Street,Monday-Friday,7:00 PM,749,610,,,1359
72 Avenue West of 123 Street,Monday-Friday,8:00 PM,624,517,,,1141
72 Avenue West of 123 Street,Monday-Friday,9:00 PM,467,371,,,838
72 Avenue West of 123 Street,Monday-Friday,10:00 PM,364,222,,,586
72 Avenue West of 123 Street,Monday-Friday,11:00 PM,255,104,,,359
88 Avenue West of 123 Street,Monday-Friday,12:00 AM,246,110,,,356
88 Avenue West of 123 Street,Monday-Friday,1:00 AM,132,70,,,202
88 Avenue West of 123 Street,Monday-Friday,2:00 AM,98,71,,,169
88 Avenue West of 123 Street,Monday-Friday,3:00 AM,71,110,,,181
88 Avenue West of 123 Street,Monday-Friday,4:00 AM,98,269,,,367
88 Avenue West of 123 Street,Monday-Friday,5:00 AM,203,880,,,1083
88 Avenue West of 123 Street,Monday-Friday,6:00 AM,482,989,,,1471
88 Avenue West of 123 Street,Monday-Friday,7:00 AM,873,880,,,1753
88 Avenue West of 123 Street,Monday-Friday,8:00 AM,867,1034,,,1901
88 Avenue West of 123 Street,Monday-Friday,9:00 AM,752,1002,,,1754
88 Avenue West of 123 Street,Monday-Friday,10:00 AM,829,1035,,,1864
88 Avenue West of 123 Street,Monday-Friday,11:00 AM,961,1074,,,2035
88 Avenue West of 123 Street,Monday-Friday,12:00 PM,1108,1118,,,2226
88 Avenue West of 123 Street,Monday-Friday,1:00 PM,1150,1135,,,2285
88 Avenue West of 123 Street,Monday-Friday,2:00 PM,1246,1182,,,2428
88 Avenue West of 123 Street,Monday-Friday,3:00 PM,1347,1257,,,2604
88 Avenue West of 123 Street,Monday-Friday,4:00 PM,1303,1238,,,2541
88 Avenue West of 123 Street,Monday-Friday,5:00 PM,1317,1164,,,2481
88 Avenue West of 123 Street,Monday-Friday,6:00 PM,1288,1028,,,2316
88 Avenue West of 123 Street,Monday-Friday,7:00 PM,1018,864,,,1882
88 Avenue West of 123 Street,Monday-Friday,8:00 PM,747,657,,,1404
88 Avenue West of 123 Street,Monday-Friday,9:00 PM,682,538,,,1220
88 Avenue West of 123 Street,Monday-Friday,10:00 PM,558,408,,,966
88 Avenue West of 123 Street,Monday-Friday,11:00 PM,420,224,,,644
96 Avenue East of 130 Street,Monday-Friday,12:00 AM,99,103,,,202
96 Avenue East of 130 Street,Monday-Friday,1:00 AM,67,66,,,133
96 Avenue East of 130 Street,Monday-Friday,2:00 AM,49,56,,,105
96 Avenue East of 130 Street,Monday-Friday,3:00 AM,45,53,,,98
96 Avenue East of 130 Street,Monday-Friday,4:00 AM,93,106,,,199
96 Avenue East of 130 Street,Monday-Friday,5:00 AM,234,343,,,577
96 Avenue East of 130 Street,Monday-Friday,6:00 AM,567,517,,,1084
96 Avenue East of 130 Street,Monday-Friday,7:00 AM,841,724,,,1565
96 Avenue East of 130 Street,Monday-Friday,8:00 AM,819,791,,,1610
96 Avenue East of 130 Street,Monday-Friday,9:00 AM,632,626,,,1258
96 Avenue East of 130 Street,Monday-Friday,10:00 AM,608,613,,,1221
96 Avenue East of 130 Street,Monday-Friday,11:00 AM,667,712,,,1379
96 Avenue East of 130 Street,Monday-Friday,12:00 PM,745,725,,,1470
96 Avenue East of 130 Street,Monday-Friday,1:00 PM,774,756,,,1530
96 Avenue East of 130 Street,Monday-Friday,2:00 PM,899,892,,,1791
96 Avenue East of 130 Street,Monday-Friday,3:00 PM,990,1018,,,2008
96 Avenue East of 130 Street,Monday-Friday,4:00 PM,984,1084,,,2068
96 Avenue East of 130 Street,Monday-Friday,5:00 PM,972,968,,,1940
96 Avenue East of 130 Street,Monday-Friday,6:00 PM,864,806,,,1670
96 Avenue East of 130 Street,Monday-Friday,7:00 PM,649,681,,,1330
96 Avenue East of 130 Street,Monday-Friday,8:00 PM,457,493,,,950
96 Avenue East of 130 Street,Monday-Friday,9:00 PM,385,407,,,792
96 Avenue East of 130 Street,Monday-Friday,10:00 PM,290,291,,,581
96 Avenue East of 130 Street,Monday-Friday,11:00 PM,187,202,,,389
104 Avenue East of 157 Street,Monday-Friday,12:00 AM,72,83,,,155
104 Avenue East of 157 Street,Monday-Friday,1:00 AM,43,45,,,88
104 Avenue East of 157 Street,Monday-Friday,2:00 AM,34,38,,,72
104 Avenue East of 157 Street,Monday-Friday,3:00 AM,43,38,,,81
104 Avenue East of 157 Street,Monday-Friday,4:00 AM,83,66,,,149
104 Avenue East of 157 Street,Monday-Friday,5:00 AM,248,202,,,450
104 Avenue East of 157 Street,Monday-Friday,6:00 AM,402,427,,,829
104 Avenue East of 157 Street,Monday-Friday,7:00 AM,587,957,,,1544
104 Avenue East of 157 Street,Monday-Friday,8:00 AM,538,997,,,1535
104 Avenue East of 157 Street,Monday-Friday,9:00 AM,437,671,,,1108
104 Avenue East of 157 Street,Monday-Friday,10:00 AM,459,624,,,1083
104 Avenue East of 157 Street,Monday-Friday,11:00 AM,545,692,,,1237
104 Avenue East of 157 Street,Monday-Friday,12:00 PM,605,682,,,1287
104 Avenue East of 157 Street,Monday-Friday,1:00 PM,670,669,,,1339
104 Avenue East of 157 Street,Monday-Friday,2:00 PM,829,766,,,1595
104 Avenue East of 157 Street,Monday-Friday,3:00 PM,894,964,,,1858
104 Avenue East of 157 Street,Monday-Friday,4:00 PM,1055,982,,,2037
104 Avenue East of 157 Street,Monday-Friday,5:00 PM,934,867,,,1801
104 Avenue East of 157 Street,Monday-Friday,6:00 PM,688,689,,,1377
104 Avenue East of 157 Street,Monday-Friday,7:00 PM,532,479,,,1011
104 Avenue East of 157 Street,Monday-Friday,8:00 PM,437,366,,,803
104 Avenue East of 157 Street,Monday-Friday,9:00 PM,368,317,,,685
104 Avenue East of 157 Street,Monday-Friday,10:00 PM,227,226,,,453
104 Avenue East of 157 Street,Monday-Friday,11:00 PM,138,154,,,292
152 Street South of 70 Avenue,Monday-Friday,12:00 AM,,,106,159,265
152 Street South of 70 Avenue,Monday-Friday,1:00 AM,,,70,90,160
152 Street South of 70 Avenue,Monday-Friday,2:00 AM,,,51,56,107
152 Street South of 70 Avenue,Monday-Friday,3:00 AM,,,45,44,89
152 Street South of 70 Avenue,Monday-Friday,4:00 AM,,,105,63,168
152 Street South of 70 Avenue,Monday-Friday,5:00 AM,,,320,146,466
152 Street South of 70 Avenue,Monday-Friday,6:00 AM,,,730,432,1162
152 Street South of 70 Avenue,Monday-Friday,7:00 AM,,,1131,789,1920
152 Street South of 70 Avenue,Monday-Friday,8:00 AM,,,1389,963,2352
152 Street South of 70 Avenue,Monday-Friday,9:00 AM,,,1134,806,1940
152 Street South of 70 Avenue,Monday-Friday,10:00 AM,,,1082,822,1904
152 Street South of 70 Avenue,Monday-Friday,11:00 AM,,,1162,992,2154
152 Street South of 70 Avenue,Monday-Friday,12:00 PM,,,1211,1114,2325
152 Street South of 70 Avenue,Monday-Friday,1:00 PM,,,1188,1221,2409
152 Street South of 70 Avenue,Monday-Friday,2:00 PM,,,1220,1388,2608
