Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,54,41,,,95
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,34,22,,,56
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,18,14,,,32
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,13,11,,,24
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,18,22,,,40
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,23,52,,,75
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,74,102,,,176
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,138,140,,,278
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,209,212,,,421
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,291,273,,,564
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,362,304,,,666
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,383,353,,,736
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,400,379,,,779
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,405,395,,,800
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,412,411,,,823
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,397,443,,,840
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,367,440,,,807
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,300,377,,,677
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,217,262,,,479
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,182,202,,,384
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,177,173,,,350
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,152,136,,,288
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,102,96,,,198
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,72,67,,,139
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,48,22,,,70
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,26,15,,,41
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,16,10,,,26
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,11,,,21
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,7,13,,,20
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,15,44,,,59
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,28,61,,,89
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,62,102,,,164
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,106,156,,,262
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,155,163,,,318
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,192,199,,,391
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,207,198,,,405
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,232,215,,,447
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,230,209,,,439
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,237,202,,,439
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,247,214,,,461
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,237,217,,,454
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,202,174,,,376
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,157,122,,,279
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,119,105,,,224
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,113,102,,,215
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,116,81,,,197
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,78,48,,,126
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,55,42,,,97
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,196,98,,,294
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,130,74,,,204
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,102,77,,,179
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,105,102,,,207
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,112,183,,,295
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,143,236,,,379
