Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,59,45,,,104
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,33,25,,,58
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,20,17,,,37
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,13,,,23
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,18,21,,,39
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,27,55,,,82
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,74,97,,,171
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,146,148,,,294
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,224,210,,,434
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,295,266,,,561
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,356,302,,,658
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,377,349,,,726
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,402,376,,,778
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,403,417,,,820
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,405,411,,,816
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,404,437,,,841
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,351,452,,,803
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,315,395,,,710
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,231,287,,,518
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,204,233,,,437
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,180,188,,,368
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,135,131,,,266
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,97,92,,,189
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,64,61,,,125
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,46,28,,,74
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,24,15,,,39
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,14,8,,,22
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,8,9,,,17
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,8,15,,,23
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,15,49,,,64
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,37,68,,,105
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,72,108,,,180
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,112,149,,,261
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,161,182,,,343
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,196,204,,,400
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,224,220,,,444
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,227,214,,,441
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,246,216,,,462
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,251,224,,,475
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,250,229,,,479
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,234,215,,,449
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,223,180,,,403
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,172,138,,,310
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,150,119,,,269
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,129,98,,,227
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,103,73,,,176
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,82,52,,,134
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,54,40,,,94
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,138,70,,,208
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,95,63,,,158
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,90,79,,,169
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,94,101,,,195
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,102,212,,,314
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,150,251,,,401
72 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,223,322,,,545
72 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,337,440,,,777
72 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,520,633,,,1153
72 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,613,787,,,1400
72 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,741,890,,,1631
72 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,827,919,,,1746
72 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,870,958,,,1828
72 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,887,934,,,1821
72 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,914,915,,,1829
72 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,892,835,,,1727
72 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,853,808,,,1661
72 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,815,761,,,1576
72 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,660,588,,,1248
72 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,526,472,,,998
72 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,483,404,,,887
72 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,349,266,,,615
72 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,280,167,,,447
72 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,205,97,,,302
152 Street South of 70 Avenue,Saturday-Sunday,12:00 AM,,,183,191,374
152 Street South of 70 Avenue,Saturday-Sunday,1:00 AM,,,105,114,219
152 Street South of 70 Avenue,Saturday-Sunday,2:00 AM,,,72,75,147
152 Street South of 70 Avenue,Saturday-Sunday,3:00 AM,,,46,63,109
152 Street South of 70 Avenue,Saturday-Sunday,4:00 AM,,,48,60,108
152 Street South of 70 Avenue,Saturday-Sunday,5:00 AM,,,67,105,172
152 Street South of 70 Avenue,Saturday-Sunday,6:00 AM,,,156,214,370
152 Street South of 70 Avenue,Saturday-Sunday,7:00 AM,,,252,322,574
152 Street South of 70 Avenue,Saturday-Sunday,8:00 AM,,,380,430,810
152 Street South of 70 Avenue,Saturday-Sunday,9:00 AM,,,526,636,1162
152 Street South of 70 Avenue,Saturday-Sunday,10:00 AM,,,679,779,1458
152 Street South of 70 Avenue,Saturday-Sunday,11:00 AM,,,797,799,1596
152 Street South of 70 Avenue,Saturday-Sunday,12:00 PM,,,880,826,1706
152 Street South of 70 Avenue,Saturday-Sunday,1:00 PM,,,949,864,1813
152 Street South of 70 Avenue,Saturday-Sunday,2:00 PM,,,884,931,1815
152 Street South of 70 Avenue,Saturday-Sunday,3:00 PM,,,864,907,1771
152 Street South of 70 Avenue,Saturday-Sunday,4:00 PM,,,849,916,1765
152 Street South of 70 Avenue,Saturday-Sunday,5:00 PM,,,801,888,1689
152 Street South of 70 Avenue,Saturday-Sunday,6:00 PM,,,758,877,1635
152 Street South of 70 Avenue,Saturday-Sunday,7:00 PM,,,629,730,1359
152 Street South of 70 Avenue,Saturday-Sunday,8:00 PM,,,615,539,1154
152 Street South of 70 Avenue,Saturday-Sunday,9:00 PM,,,540,430,970
152 Street South of 70 Avenue,Saturday-Sunday,10:00 PM,,,350,343,693
152 Street South of 70 Avenue,Saturday-Sunday,11:00 PM,,,264,229,493
Fraser Hwy East of 188 St,Saturday-Sunday,12:00 AM,95,143,,,238
Fraser Hwy East of 188 St,Saturday-Sunday,1:00 AM,67,93,,,160
Fraser Hwy East of 188 St,Saturday-Sunday,2:00 AM,40,70,,,110
Fraser Hwy East of 188 St,Saturday-Sunday,3:00 AM,37,45,,,82
Fraser Hwy East of 188 St,Saturday-Sunday,4:00 AM,45,42,,,87
Fraser Hwy East of 188 St,Saturday-Sunday,5:00 AM,72,59,,,131
Fraser Hwy East of 188 St,Saturday-Sunday,6:00 AM,168,124,,,292
Fraser Hwy East of 188 St,Saturday-Sunday,7:00 AM,256,179,,,435
Fraser Hwy East of 188 St,Saturday-Sunday,8:00 AM,387,271,,,658
Fraser Hwy East of 188 St,Saturday-Sunday,9:00 AM,610,398,,,1008
Fraser Hwy East of 188 St,Saturday-Sunday,10:00 AM,741,566,,,1307
Fraser Hwy East of 188 St,Saturday-Sunday,11:00 AM,773,721,,,1494
Fraser Hwy East of 188 St,Saturday-Sunday,12:00 PM,847,808,,,1655
Fraser Hwy East of 188 St,Saturday-Sunday,1:00 PM,825,869,,,1694
Fraser Hwy East of 188 St,Saturday-Sunday,2:00 PM,787,950,,,1737
Fraser Hwy East of 188 St,Saturday-Sunday,3:00 PM,707,946,,,1653
Fraser Hwy East of 188 St,Saturday-Sunday,4:00 PM,641,938,,,1579
Fraser Hwy East of 188 St,Saturday-Sunday,5:00 PM,563,909,,,1472
Fraser Hwy East of 188 St,Saturday-Sunday,6:00 PM,468,711,,,1179
Fraser Hwy East of 188 St,Saturday-Sunday,7:00 PM,391,516,,,907
Fraser Hwy East of 188 St,Saturday-Sunday,8:00 PM,306,454,,,760
Fraser Hwy East of 188 St,Saturday-Sunday,9:00 PM,239,367,,,606
Fraser Hwy East of 188 St,Saturday-Sunday,10:00 PM,184,276,,,460
Fraser Hwy East of 188 St,Saturday-Sunday,11:00 PM,123,194,,,317
King George Blvd South of 72 Avenue,Saturday-Sunday,12:00 AM,,,178,196,374
King George Blvd South of 72 Avenue,Saturday-Sunday,1:00 AM,,,119,136,255
King George Blvd South of 72 Avenue,Saturday-Sunday,2:00 AM,,,91,103,194
King George Blvd South of 72 Avenue,Saturday-Sunday,3:00 AM,,,68,81,149
King George Blvd South of 72 Avenue,Saturday-Sunday,4:00 AM,,,75,72,147
King George Blvd South of 72 Avenue,Saturday-Sunday,5:00 AM,,,122,122,244
King George Blvd South of 72 Avenue,Saturday-Sunday,6:00 AM,,,227,228,455
King George Blvd South of 72 Avenue,Saturday-Sunday,7:00 AM,,,327,317,644
King George Blvd South of 72 Avenue,Saturday-Sunday,8:00 AM,,,473,402,875
King George Blvd South of 72 Avenue,Saturday-Sunday,9:00 AM,,,752,541,1293
King George Blvd South of 72 Avenue,Saturday-Sunday,10:00 AM,,,893,752,1645
King George Blvd South of 72 Avenue,Saturday-Sunday,11:00 AM,,,976,882,1858
King George Blvd South of 72 Avenue,Saturday-Sunday,12:00 PM,,,987,1004,1991
King George Blvd South of 72 Avenue,Saturday-Sunday,1:00 PM,,,1009,1049,2058
King George Blvd South of 72 Avenue,Saturday-Sunday,2:00 PM,,,1045,1095,2140
King George Blvd South of 72 Avenue,Saturday-Sunday,3:00 PM,,,990,1077,2067
King George Blvd South of 72 Avenue,Saturday-Sunday,4:00 PM,,,947,1011,1958
King George Blvd South of 72 Avenue,Saturday-Sunday,5:00 PM,,,863,970,1833
King George Blvd South of 72 Avenue,Saturday-Sunday,6:00 PM,,,807,835,1642
King George Blvd South of 72 Avenue,Saturday-Sunday,7:00 PM,,,671,727,1398
King George Blvd South of 72 Avenue,Saturday-Sunday,8:00 PM,,,504,587,1091
King George Blvd South of 72 Avenue,Saturday-Sunday,9:00 PM,,,424,462,886
King George Blvd South of 72 Avenue,Saturday-Sunday,10:00 PM,,,321,382,703
King George Blvd South of 72 Avenue,Saturday-Sunday,11:00 PM,,,241,263,504
Scott Rd North of 72 Avenue,Saturday-Sunday,12:00 AM,,,138,144,282
Scott Rd North of 72 Avenue,Saturday-Sunday,1:00 AM,,,102,101,203
Scott Rd North of 72 Avenue,Saturday-Sunday,2:00 AM,,,59,64,123
Scott Rd North of 72 Avenue,Saturday-Sunday,3:00 AM,,,53,52,105
Scott Rd North of 72 Avenue,Saturday-Sunday,4:00 AM,,,54,50,104
Scott Rd North of 72 Avenue,Saturday-Sunday,5:00 AM,,,69,71,140
Scott Rd North of 72 Avenue,Saturday-Sunday,6:00 AM,,,128,134,262
Scott Rd North of 72 Avenue,Saturday-Sunday,7:00 AM,,,236,213,449
Scott Rd North of 72 Avenue,Saturday-Sunday,8:00 AM,,,396,347,743
Scott Rd North of 72 Avenue,Saturday-Sunday,9:00 AM,,,562,529,1091
Scott Rd North of 72 Avenue,Saturday-Sunday,10:00 AM,,,732,656,1388
Scott Rd North of 72 Avenue,Saturday-Sunday,11:00 AM,,,843,771,1614
Scott Rd North of 72 Avenue,Saturday-Sunday,12:00 PM,,,924,864,1788
Scott Rd North of 72 Avenue,Saturday-Sunday,1:00 PM,,,917,896,1813
Scott Rd North of 72 Avenue,Saturday-Sunday,2:00 PM,,,929,905,1834
Scott Rd North of 72 Avenue,Saturday-Sunday,3:00 PM,,,904,890,1794
