ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,4,Tee,1000299633,6660,1399310172,,,100.15,,,In Service,,1989,Surrey,,,,,,,,,19920131,,49.187319,-122.834049
0,1,4,Tee,1000300796,2981,1376901888,,,89.3,,,In Service,,1989,Surrey,,,,,,,,,19890214,20140429,49.037480,-122.840682
0,1,4,Tee,1000311364,5696,1321809013,,,62.95,,,In Service,,1975,Surrey,,,,,,,,,19890605,,49.166367,-122.855479
0,1,4,Tee,1000311469,13259,1357709477,,,57.8,,,In Service,,1993,Surrey,,,,,,,,,19930428,,49.174759,-122.845561
,1,4,Tee,1001743912,,1439505818,,CAS,,,,In Service,SEE FT01070,2014,Surrey,,,Initial AB,,,,,,20140425,20140425,49.108261,-122.823230
0,1,4,Tee,1000311026,11158,1155609668,,,78.54,,,In Service,,1984,Surrey,,,,,,,,,19900615,,49.178266,-122.901302
0,1,4,Tee,1000311052,11183,1125309606,,,39.37,,,In Service,,1980,Surrey,,,,,,,,,19900618,,49.177151,-122.909669
0,1,4,Tee,1000311157,11375,1195709610,,,87.41,,,In Service,,1948,Surrey,,,,,,,,,19900626,,49.177214,-122.890242
0,1,4,Tee,1000310917,13707,1296810612,,,83.8,,,In Service,,1992,Surrey,,,,,,,,,19900719,,49.195290,-122.862296
0,1,4,Tee,1000310775,11582,1337810563,,,78,,,In Service,,1970,Surrey,,,,,,,,,19900713,,49.194410,-122.850979
0,1,4,Tee,1000300821,10345,1365501840,,,91.04,,,In Service,,1988,Surrey,,,,,,,,,19900426,20140429,49.036603,-122.843844
0,1,4,Tee,1000309859,993,1737206348,,,15.78,,,In Service,,1976,Surrey,,,,,,,,,19881006,,49.117964,-122.741158
0,1,4,Tee,1000303178,5226,1426608932,,,64.43,,,In Service,,1988,Surrey,,,,,,,,,19890510,,49.164878,-122.826568
0,1,4,Tee,1000313465,13698,1506402833,,,54.21,,,Abandoned,,1995,Surrey,,,,,,,,,19951005,20080623,49.054509,-122.804996
0,1,4,Tee,1000307545,13173,1499507209,,,32.88,,,In Service,,1993,Surrey,,,,,,,,,19931208,,49.133672,-122.806589
0,1,4,Tee,1000303293,17944,1647610355,100,PVC,,62.5,,In Service,7802-0215-00,2004,Surrey,,,Final AB,,,,,,20040421,,49.190265,-122.765496
0,1,4,Tee,1000314104,12606,1639909395,,,31.87,,,In Service,,1988,Surrey,,,,,,,,,19901003,,49.173139,-122.767706
0,1,4,Tee,1000301630,10344,1740302503,,,83.8,,,In Service,,1993,Surrey,,,,,,,,,19940610,,49.048422,-122.740669
0,1,4,Tee,1000304979,6665,1657110816,,,65.15,,,In Service,,1993,Surrey,,,,,,,,,19930929,,49.198836,-122.762845
,1,0,Cap,1001810273,,1219511227,150,CAS,,,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,20150227,20150227,49.206225,-122.883666
0,1,4,Tee,1000302705,16362,1879509564,300,CAS,,,,In Service,W-689,1988,Surrey,,,,,,,,,20021129,,49.175788,-122.701563
0,1,4,Tee,1000306419,12044,1216209910,,,76.93,,,In Service,,1973,Surrey,,,,,,,,,19900809,,49.182632,-122.884578
0,1,4,Tee,1000303359,10144,1277610814,,,59.31,,,In Service,,1992,Surrey,,,,,,,,,19960710,,49.198968,-122.867595
0,1,4,Tee,1000303438,12304,1264610410,,,79.1,,,In Service,,1984,Surrey,,,,,,,,,19900822,,49.191662,-122.871192
0,1,4,Tee,1000302702,11863,1914009028,,,14.3,,,In Service,,1996,Surrey,,,,,,,,,19961016,,49.166328,-122.692129
0,1,4,Tee,1000304286,4289,1559109711,,,82.05,,,In Service,,1981,Surrey,,,,,,,,,19890412,20150227,49.178894,-122.789967
0,1,4,Tee,1000304561,18361,1564609725,200,DI,,79.5,,In Service,7803-0086-00,2004,Surrey,,,Final AB,,,,,,20041007,20150227,49.178893,-122.788453
,1,0,Cap,1001810294,,1214511183,300,CAS,,,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,20150227,20150227,49.205434,-122.885034
0,1,4,Tee,1000308237,10851,1600801842,,,62.85,,,In Service,,1982,Surrey,,,,,,,,,19900528,,49.036536,-122.779104
0,1,4,Tee,1000309209,7756,1511107356,,,13.96,,,In Service,,1988,Surrey,,,,,,,,,19891023,20141117,49.136321,-122.803382
0,1,4,Tee,1000307150,3711,1522908570,,,78.3,,,In Service,,1982,Surrey,,,,,,,,,19890316,,49.158282,-122.800054
0,1,4,Tee,1000301023,10107,1290001639,,,77.55,,,In Service,,1986,Surrey,,,,,,,,,19900327,,49.032998,-122.864611
,1,4,Tee,1001168973,,1620807951,200,DI,,47.9,,In Service,7807-0042-00,2009,Surrey,,,Final AB,,,,,,20100804,20110623,49.146775,-122.773090
,1,4,Tee,1001170240,,1569910730,250,DI,,78.39,,In Service,7808-0198-00,2010,Surrey,,,Final AB,,,,,,20100818,20110623,49.197084,-122.786918
,0,0,Cap,1001171088,,1720700162,200,DI,,,,Abandoned,F/T,,Surrey,,,Initial AB,,,,,,20100826,20110623,49.005764,-122.746260
0,1,4,Tee,1000305611,1059,1861106053,,,64.8,,,In Service,,1989,Surrey,,,,,,,,,19881007,20141117,49.112543,-122.707030
0,1,4,Tee,1000302849,14803,1599809034,,,74.65,,,In Service,,1996,Surrey,,,,,,,,,19990118,,49.166385,-122.778786
0,1,1,Cross,1000315422,9213,1226502826,,,-0.09,,,In Service,,1984,Surrey,,,,,,,,,19900202,20141117,49.054494,-122.882036
0,1,4,Tee,1000299247,10608,1484902107,,,112.33,,,In Service,,1987,Surrey,,,,,,,,,19900510,,49.041381,-122.810968
0,1,4,Tee,1000298814,12132,1399210806,,,103.85,,,In Service,,1970,Surrey,,,,,,,,,19900813,,49.198781,-122.834023
0,1,4,Tee,1000298586,3677,1570010815,,,80.04,,,In Service,,1970,Surrey,,,,,,,,,19890316,,49.198873,-122.786884
0,1,4,Tee,1000298633,3838,1529810610,,,73.18,,,In Service,,1980,Surrey,,,,,,,,,19890320,,49.195168,-122.797989
0,1,4,Tee,1000298661,14829,1378510420,,,90.9,,,In Service,,1998,Surrey,,,,,,,,,19990205,,49.191555,-122.839795
0,1,4,Tee,1000314382,8035,1357706683,,,55.74,,,In Service,,1980,Surrey,,,,,,,,,19891109,,49.124215,-122.845705
0,1,4,Tee,1000314637,7009,1287811536,,,0.7,,,In Service,,1978,Surrey,,,,,,,,,19890912,,49.212020,-122.864752
0,1,4,Tee,1000313009,580,1378306001,,,73.46,,,In Service,,1972,Surrey,,,,,,,,,19880921,20090514,49.111875,-122.840066
0,1,4,Tee,1000314626,6990,1280211213,,,1.5,,,In Service,,1987,Surrey,,,,,,,,,19890911,20110919,49.206180,-122.866860
0,1,4,Tee,1000310855,11698,1317710704,,,75.86,,,In Service,,1966,Surrey,,,,,,,,,19900723,,49.196965,-122.856516
0,1,4,Tee,1000310937,6303,1338110738,,,76.8,,,In Service,,1995,Surrey,,,,,,,,,19981130,,49.197330,-122.850917
0,1,4,Tee,1000311009,11141,1156009659,,,80.58,,,In Service,,1987,Surrey,,,,,,,,,19900615,,49.178108,-122.901206
0,1,4,Tee,1000311090,11259,1184109758,,,72.74,,,In Service,,1972,Surrey,,,,,,,,,19900620,,49.179889,-122.893431
0,1,4,Tee,1000308827,14943,1699208425,,,28.35,,,In Service,,1998,Surrey,,,,,,,,,19990909,,49.155304,-122.751417
0,1,4,Tee,1000309079,5236,1271307616,,,,,,In Service,,1990,Surrey,,,,,,,,,19890926,,49.141105,-122.869493
0,1,4,Tee,1000302951,12584,1529609350,,,88.72,,,In Service,,1989,Surrey,,,,,,,,,19901001,20141117,49.172377,-122.798138
0,1,4,Tee,1000309945,1154,1723505740,,,5.27,,,In Service,,1976,Surrey,,,,,,,,,19881012,,49.106972,-122.744972
0,1,4,Tee,1000297645,8512,1436206792,,,38.15,,,In Service,,1984,Surrey,,,,,,,,,19900102,,49.126152,-122.824079
0,1,1,Cross,1000315493,12318,1498910408,,,92.17,,,In Service,,1966,Surrey,,,,,,,,,19900823,,49.191541,-122.806536
0,1,1,Cross,1000315564,14453,1691006103,,,21.02,,,In Service,,1996,Surrey,,,,,,,,,19980130,,49.113288,-122.753904
0,1,4,Tee,1000302057,9214,1220302885,,,-0.1,,,In Service,,1984,Surrey,,,,,,,,,19900202,20141117,49.055270,-122.883773
0,1,4,Tee,1000314305,7944,1326406630,,,73.83,,,In Service,,1981,Surrey,,,,,,,,,19891103,,49.123276,-122.854330
,1,4,Tee,1001753838,,1465910554,300,DI,,105.36,,In Service,7812-0158-00,2016,Surrey,,,Final AB,,,,,,20170720,20171004,49.193950,-122.815658
0,1,4,Tee,1000314809,7239,1404311403,,,82.1,,,In Service,,1982,Surrey,,,,,,,,,19890925,,49.209576,-122.832577
0,1,4,Tee,1000298368,15046,1583911087,100,PVC,,81.5,,In Service,7897-0240-00,1999,Surrey,,,Final AB,,,,,,20020507,,49.203544,-122.783023
