Day Index,Pageviews,Day
2017-01-01,65,Sunday
2017-01-02,166,Monday
2017-01-03,463,Tuesday
2017-01-04,645,Wednesday
2017-01-05,497,Thursday
2017-01-06,554,Friday
2017-01-07,115,Saturday
2017-01-08,111,Sunday
2017-01-09,495,Monday
2017-01-10,332,Tuesday
2017-01-11,442,Wednesday
2017-01-12,475,Thursday
2017-01-13,373,Friday
2017-01-14,144,Saturday
2017-01-15,129,Sunday
2017-01-16,658,Monday
2017-01-17,445,Tuesday
2017-01-18,961,Wednesday
2017-01-19,545,Thursday
2017-01-20,569,Friday
2017-01-21,336,Saturday
2017-01-22,335,Sunday
2017-01-23,590,Monday
2017-01-24,510,Tuesday
2017-01-25,526,Wednesday
2017-01-26,783,Thursday
2017-01-27,484,Friday
2017-01-28,141,Saturday
2017-01-29,180,Sunday
2017-01-30,371,Monday
2017-01-31,365,Tuesday
2017-02-01,480,Wednesday
2017-02-02,390,Thursday
2017-02-03,279,Friday
2017-02-04,293,Saturday
2017-02-05,396,Sunday
2017-02-06,589,Monday
2017-02-07,551,Tuesday
2017-02-08,526,Wednesday
2017-02-09,288,Thursday
2017-02-10,520,Friday
2017-02-11,192,Saturday
2017-02-12,124,Sunday
2017-02-13,155,Monday
2017-02-14,416,Tuesday
2017-02-15,648,Wednesday
2017-02-16,580,Thursday
2017-02-17,268,Friday
2017-02-18,151,Saturday
2017-02-19,86,Sunday
2017-02-20,499,Monday
2017-02-21,541,Tuesday
2017-02-22,616,Wednesday
2017-02-23,382,Thursday
2017-02-24,297,Friday
2017-02-25,121,Saturday
2017-02-26,88,Sunday
2017-02-27,598,Monday
2017-02-28,601,Tuesday
2017-03-01,502,Wednesday
2017-03-02,440,Thursday
2017-03-03,519,Friday
2017-03-04,255,Saturday
2017-03-05,186,Sunday
2017-03-06,553,Monday
2017-03-07,1015,Tuesday
2017-03-08,644,Wednesday
2017-03-09,436,Thursday
2017-03-10,414,Friday
2017-03-11,124,Saturday
2017-03-12,206,Sunday
2017-03-13,587,Monday
2017-03-14,613,Tuesday
2017-03-15,553,Wednesday
2017-03-16,440,Thursday
2017-03-17,398,Friday
2017-03-18,158,Saturday
2017-03-19,137,Sunday
2017-03-20,476,Monday
2017-03-21,938,Tuesday
2017-03-22,594,Wednesday
2017-03-23,609,Thursday
2017-03-24,621,Friday
2017-03-25,183,Saturday
2017-03-26,296,Sunday
2017-03-27,609,Monday
2017-03-28,706,Tuesday
2017-03-29,480,Wednesday
2017-03-30,917,Thursday
2017-03-31,586,Friday
2017-04-01,204,Saturday
2017-04-02,199,Sunday
2017-04-03,446,Monday
2017-04-04,260,Tuesday
2017-04-05,537,Wednesday
2017-04-06,508,Thursday
2017-04-07,294,Friday
2017-04-08,174,Saturday
2017-04-09,375,Sunday
2017-04-10,358,Monday
2017-04-11,400,Tuesday
2017-04-12,311,Wednesday
2017-04-13,395,Thursday
2017-04-14,209,Friday
2017-04-15,96,Saturday
2017-04-16,116,Sunday
2017-04-17,251,Monday
2017-04-18,327,Tuesday
2017-04-19,427,Wednesday
2017-04-20,500,Thursday
2017-04-21,385,Friday
2017-04-22,89,Saturday
2017-04-23,182,Sunday
2017-04-24,406,Monday
2017-04-25,311,Tuesday
2017-04-26,371,Wednesday
2017-04-27,277,Thursday
2017-04-28,409,Friday
2017-04-29,159,Saturday
2017-04-30,113,Sunday
2017-05-01,258,Monday
2017-05-02,458,Tuesday
2017-05-03,307,Wednesday
2017-05-04,461,Thursday
2017-05-05,263,Friday
2017-05-06,93,Saturday
2017-05-07,171,Sunday
2017-05-08,380,Monday
2017-05-09,310,Tuesday
2017-05-10,396,Wednesday
2017-05-11,416,Thursday
2017-05-12,277,Friday
2017-05-13,195,Saturday
2017-05-14,46,Sunday
2017-05-15,286,Monday
2017-05-16,463,Tuesday
2017-05-17,304,Wednesday
2017-05-18,243,Thursday
2017-05-19,312,Friday
2017-05-20,87,Saturday
2017-05-21,87,Sunday
2017-05-22,129,Monday
2017-05-23,297,Tuesday
2017-05-24,421,Wednesday
2017-05-25,430,Thursday
2017-05-26,744,Friday
2017-05-27,87,Saturday
2017-05-28,213,Sunday
2017-05-29,882,Monday
2017-05-30,371,Tuesday
2017-05-31,696,Wednesday
2017-06-01,668,Thursday
2017-06-02,858,Friday
2017-06-03,193,Saturday
2017-06-04,191,Sunday
2017-06-05,1192,Monday
2017-06-06,661,Tuesday
2017-06-07,971,Wednesday
2017-06-08,481,Thursday
2017-06-09,428,Friday
2017-06-10,123,Saturday
2017-06-11,159,Sunday
2017-06-12,579,Monday
2017-06-13,527,Tuesday
2017-06-14,492,Wednesday
2017-06-15,447,Thursday
2017-06-16,530,Friday
2017-06-17,126,Saturday
2017-06-18,171,Sunday
2017-06-19,557,Monday
2017-06-20,736,Tuesday
2017-06-21,518,Wednesday
2017-06-22,426,Thursday
2017-06-23,440,Friday
2017-06-24,145,Saturday
2017-06-25,363,Sunday
2017-06-26,543,Monday
2017-06-27,370,Tuesday
2017-06-28,440,Wednesday
2017-06-29,381,Thursday
2017-06-30,154,Friday
2017-07-01,183,Saturday
2017-07-02,136,Sunday
2017-07-03,91,Monday
2017-07-04,264,Tuesday
2017-07-05,545,Wednesday
2017-07-06,446,Thursday
2017-07-07,516,Friday
2017-07-08,109,Saturday
2017-07-09,89,Sunday
2017-07-10,593,Monday
2017-07-11,558,Tuesday
2017-07-12,1022,Wednesday
2017-07-13,412,Thursday
2017-07-14,524,Friday
2017-07-15,94,Saturday
2017-07-16,101,Sunday
2017-07-17,495,Monday
2017-07-18,412,Tuesday
2017-07-19,235,Wednesday
2017-07-20,166,Thursday
2017-07-21,249,Friday
2017-07-22,87,Saturday
2017-07-23,91,Sunday
2017-07-24,480,Monday
2017-07-25,385,Tuesday
2017-07-26,290,Wednesday
2017-07-27,771,Thursday
2017-07-28,744,Friday
2017-07-29,75,Saturday
2017-07-30,127,Sunday
2017-07-31,787,Monday
2017-08-01,525,Tuesday
2017-08-02,334,Wednesday
2017-08-03,374,Thursday
2017-08-04,1062,Friday
2017-08-05,119,Saturday
2017-08-06,73,Sunday
2017-08-07,134,Monday
2017-08-08,214,Tuesday
2017-08-09,260,Wednesday
2017-08-10,311,Thursday
2017-08-11,238,Friday
2017-08-12,63,Saturday
2017-08-13,84,Sunday
2017-08-14,646,Monday
2017-08-15,770,Tuesday
2017-08-16,548,Wednesday
2017-08-17,398,Thursday
2017-08-18,413,Friday
2017-08-19,230,Saturday
2017-08-20,98,Sunday
2017-08-21,460,Monday
2017-08-22,254,Tuesday
2017-08-23,408,Wednesday
2017-08-24,342,Thursday
2017-08-25,455,Friday
2017-08-26,203,Saturday
2017-08-27,133,Sunday
2017-08-28,478,Monday
2017-08-29,384,Tuesday
2017-08-30,343,Wednesday
2017-08-31,641,Thursday
2017-09-01,502,Friday
2017-09-02,87,Saturday
2017-09-03,151,Sunday
2017-09-04,39,Monday
2017-09-05,423,Tuesday
2017-09-06,521,Wednesday
2017-09-07,337,Thursday
2017-09-08,289,Friday
2017-09-09,121,Saturday
2017-09-10,145,Sunday
2017-09-11,389,Monday
2017-09-12,856,Tuesday
2017-09-13,489,Wednesday
2017-09-14,399,Thursday
2017-09-15,488,Friday
2017-09-16,161,Saturday
2017-09-17,181,Sunday
2017-09-18,502,Monday
2017-09-19,418,Tuesday
2017-09-20,370,Wednesday
2017-09-21,465,Thursday
2017-09-22,574,Friday
2017-09-23,153,Saturday
2017-09-24,130,Sunday
2017-09-25,796,Monday
2017-09-26,404,Tuesday
2017-09-27,376,Wednesday
2017-09-28,342,Thursday
2017-09-29,411,Friday
2017-09-30,235,Saturday
2017-10-01,220,Sunday
2017-10-02,482,Monday
2017-10-03,318,Tuesday
2017-10-04,578,Wednesday
2017-10-05,770,Thursday
2017-10-06,700,Friday
2017-10-07,391,Saturday
2017-10-08,135,Sunday
2017-10-09,332,Monday
2017-10-10,580,Tuesday
2017-10-11,525,Wednesday
2017-10-12,779,Thursday
2017-10-13,960,Friday
2017-10-14,179,Saturday
2017-10-15,194,Sunday
2017-10-16,589,Monday
2017-10-17,615,Tuesday
2017-10-18,442,Wednesday
2017-10-19,495,Thursday
2017-10-20,404,Friday
2017-10-21,128,Saturday
2017-10-22,150,Sunday
2017-10-23,424,Monday
2017-10-24,602,Tuesday
2017-10-25,599,Wednesday
2017-10-26,382,Thursday
2017-10-27,423,Friday
2017-10-28,131,Saturday
2017-10-29,159,Sunday
2017-10-30,368,Monday
2017-10-31,610,Tuesday
2017-11-01,736,Wednesday
2017-11-02,652,Thursday
2017-11-03,777,Friday
2017-11-04,154,Saturday
2017-11-05,283,Sunday
2017-11-06,849,Monday
2017-11-07,416,Tuesday
2017-11-08,488,Wednesday
2017-11-09,793,Thursday
2017-11-10,592,Friday
2017-11-11,170,Saturday
2017-11-12,98,Sunday
2017-11-13,319,Monday
2017-11-14,604,Tuesday
2017-11-15,600,Wednesday
2017-11-16,846,Thursday
2017-11-17,763,Friday
2017-11-18,242,Saturday
2017-11-19,145,Sunday
2017-11-20,733,Monday
2017-11-21,437,Tuesday
2017-11-22,871,Wednesday
2017-11-23,585,Thursday
2017-11-24,566,Friday
2017-11-25,144,Saturday
2017-11-26,173,Sunday
2017-11-27,817,Monday
2017-11-28,582,Tuesday
2017-11-29,563,Wednesday
2017-11-30,542,Thursday
2017-12-01,701,Friday
2017-12-02,402,Saturday
2017-12-03,511,Sunday
2017-12-04,608,Monday
2017-12-05,483,Tuesday
2017-12-06,384,Wednesday
2017-12-07,394,Thursday
2017-12-08,399,Friday
2017-12-09,84,Saturday
2017-12-10,85,Sunday
2017-12-11,828,Monday
2017-12-12,584,Tuesday
2017-12-13,695,Wednesday
2017-12-14,418,Thursday
2017-12-15,392,Friday
2017-12-16,137,Saturday
2017-12-17,121,Sunday
2017-12-18,466,Monday
2017-12-19,283,Tuesday
2017-12-20,417,Wednesday
2017-12-21,456,Thursday
2017-12-22,153,Friday
2017-12-23,96,Saturday
2017-12-24,58,Sunday
2017-12-25,62,Monday
2017-12-26,153,Tuesday
2017-12-27,151,Wednesday
2017-12-28,182,Thursday
2017-12-29,103,Friday
2017-12-30,68,Saturday
2017-12-31,74,Sunday
Total,143695,
