Page,Pageviews,Unique Pageviews,Avg. Time on Page (sec),Entrances,Bounce Rate,% Exit
Home Page,14736,9388,38.49,8569,16.32%,16.46%
Dataset Page,6562,3294,26.36,633,22.19%,8.34%
Open Government Licence,5120,4167,73.09,3992,54.48%,54.57%
Land Use and Development Category,2909,1829,33.83,123,43.90%,8.53%
Infrastructure Category,1718,1057,24.13,25,24.00%,5.30%
Property Package Dataset,1465,1026,51.30,135,17.65%,15.22%
User Register Page,1357,606,40.25,38,36.84%,10.54%
2016 Orthophoto Dataset,1348,769,93.86,99,30.00%,18.18%
Property Package Dynamic Download Page,1287,939,156.07,402,83.33%,54.00%
Imagery Category,1166,827,29.94,70,22.86%,6.43%
Totals,143695,98279,46.24,23166,29.45%,16.12%
