Day Index,Pageviews,Day
2018-01-01,94,Monday
2018-01-02,316,Tuesday
2018-01-03,643,Wednesday
2018-01-04,256,Thursday
2018-01-05,618,Friday
2018-01-06,142,Saturday
2018-01-07,119,Sunday
2018-01-08,451,Monday
2018-01-09,428,Tuesday
2018-01-10,488,Wednesday
2018-01-11,527,Thursday
2018-01-12,652,Friday
2018-01-13,187,Saturday
2018-01-14,239,Sunday
2018-01-15,458,Monday
2018-01-16,488,Tuesday
2018-01-17,463,Wednesday
2018-01-18,329,Thursday
2018-01-19,376,Friday
2018-01-20,430,Saturday
2018-01-21,271,Sunday
2018-01-22,757,Monday
2018-01-23,756,Tuesday
2018-01-24,920,Wednesday
2018-01-25,709,Thursday
2018-01-26,447,Friday
2018-01-27,274,Saturday
2018-01-28,198,Sunday
2018-01-29,493,Monday
2018-01-30,491,Tuesday
2018-01-31,670,Wednesday
2018-02-01,603,Thursday
2018-02-02,565,Friday
2018-02-03,126,Saturday
2018-02-04,301,Sunday
2018-02-05,669,Monday
2018-02-06,525,Tuesday
2018-02-07,803,Wednesday
2018-02-08,669,Thursday
2018-02-09,535,Friday
2018-02-10,261,Saturday
2018-02-11,176,Sunday
2018-02-12,268,Monday
2018-02-13,391,Tuesday
2018-02-14,649,Wednesday
2018-02-15,527,Thursday
2018-02-16,401,Friday
2018-02-17,195,Saturday
2018-02-18,207,Sunday
2018-02-19,595,Monday
2018-02-20,575,Tuesday
2018-02-21,810,Wednesday
2018-02-22,565,Thursday
2018-02-23,473,Friday
2018-02-24,139,Saturday
2018-02-25,120,Sunday
2018-02-26,534,Monday
2018-02-27,308,Tuesday
2018-02-28,714,Wednesday
2018-03-01,413,Thursday
2018-03-02,635,Friday
2018-03-03,283,Saturday
2018-03-04,127,Sunday
2018-03-05,524,Monday
2018-03-06,427,Tuesday
2018-03-07,481,Wednesday
2018-03-08,366,Thursday
2018-03-09,395,Friday
2018-03-10,299,Saturday
2018-03-11,461,Sunday
2018-03-12,633,Monday
2018-03-13,530,Tuesday
2018-03-14,472,Wednesday
2018-03-15,703,Thursday
2018-03-16,572,Friday
2018-03-17,278,Saturday
2018-03-18,230,Sunday
2018-03-19,750,Monday
2018-03-20,358,Tuesday
2018-03-21,470,Wednesday
2018-03-22,558,Thursday
2018-03-23,433,Friday
2018-03-24,144,Saturday
2018-03-25,184,Sunday
2018-03-26,751,Monday
2018-03-27,740,Tuesday
2018-03-28,624,Wednesday
2018-03-29,722,Thursday
2018-03-30,88,Friday
2018-03-31,74,Saturday
,40119,
